Date,RubUSD,SP500
8/13/2010,30.556999,1079.250000
8/16/2010,30.520000,1079.380005
8/17/2010,30.462999,1092.540039
8/18/2010,30.389999,1094.160034
8/19/2010,30.419001,1075.630005
8/20/2010,30.414000,1071.689941
8/23/2010,30.636000,1067.359985
8/24/2010,30.671000,1051.869995
8/25/2010,30.780001,1055.329956
8/26/2010,30.947001,1047.219971
8/27/2010,30.671000,1064.589966
8/30/2010,30.681000,1048.920044
8/31/2010,30.652000,1049.329956
9/1/2010,30.757999,1080.290039
9/2/2010,30.690001,1090.099976
9/3/2010,30.676001,1104.510010
9/7/2010,30.607000,1091.839966
9/8/2010,30.834000,1098.869995
9/9/2010,30.798000,1104.180054
9/10/2010,30.818001,1109.550049
9/13/2010,30.861000,1121.900024
9/14/2010,30.641001,1121.099976
9/15/2010,30.591999,1125.069946
9/16/2010,30.921000,1124.660034
9/17/2010,31.289000,1125.589966
9/20/2010,30.957001,1142.709961
9/21/2010,31.042999,1139.780029
9/22/2010,31.034000,1134.280029
9/23/2010,30.968000,1124.829956
9/24/2010,31.000999,1148.670044
9/27/2010,30.733000,1142.160034
9/28/2010,30.507999,1147.699951
9/29/2010,30.433001,1144.729980
9/30/2010,30.396999,1141.199951
10/1/2010,30.544001,1146.239990
10/4/2010,30.438999,1137.030029
10/5/2010,30.448000,1160.750000
10/6/2010,30.002001,1159.969971
10/7/2010,29.822001,1158.060059
10/8/2010,29.750999,1165.150024
10/11/2010,29.823999,1165.319946
10/12/2010,29.886000,1169.770020
10/13/2010,30.077999,1178.099976
10/14/2010,30.091999,1173.810059
10/15/2010,30.021000,1176.189941
10/18/2010,30.290001,1184.709961
10/19/2010,30.362000,1165.900024
10/20/2010,30.649000,1178.170044
10/21/2010,30.656000,1180.260010
10/22/2010,30.551001,1183.079956
10/25/2010,30.322001,1185.619995
10/26/2010,30.268000,1185.640015
10/27/2010,30.423000,1182.449951
10/28/2010,30.660000,1183.780029
10/29/2010,30.660000,1183.260010
11/1/2010,30.789000,1184.380005
11/2/2010,30.802999,1193.569946
11/3/2010,30.749001,1197.959961
11/4/2010,30.795000,1221.060059
11/5/2010,30.451000,1225.849976
11/8/2010,30.493999,1223.250000
11/9/2010,30.809000,1213.400024
11/10/2010,30.625999,1218.709961
11/11/2010,30.707001,1213.540039
11/12/2010,30.594999,1199.209961
11/15/2010,30.768999,1197.750000
11/16/2010,30.973000,1178.339966
11/17/2010,31.141001,1178.589966
11/18/2010,31.280001,1196.689941
11/19/2010,31.054001,1199.729980
11/22/2010,31.087000,1197.839966
11/23/2010,31.128000,1180.729980
11/24/2010,31.333000,1198.349976
11/26/2010,31.135000,1189.400024
11/29/2010,31.440100,1187.760010
11/30/2010,31.339199,1180.550049
12/1/2010,31.522100,1206.069946
12/2/2010,31.358500,1221.530029
12/3/2010,31.460400,1224.709961
12/6/2010,31.287500,1223.119995
12/7/2010,31.215500,1223.750000
